run,steps,collisions,intimate,close intimate,person,social,public
276,314,0,5,23,148,1384,23449
277,318,0,0,74,300,2842,21145
278,328,0,5,37,203,1947,26584
279,320,0,0,0,74,739,21244
280,314,0,0,92,813,3220,20040
281,316,0,0,16,142,2273,22165
282,324,0,0,36,151,1360,21884
283,308,0,5,162,827,3429,16106
284,330,0,0,7,138,1622,20962
285,332,0,0,3,304,2616,14866
286,310,0,0,15,222,2482,23680
287,320,0,0,0,13,1265,21356
288,310,0,0,29,164,1793,22056
289,310,0,0,0,1,728,22449
290,316,0,4,8,167,1289,24133
291,328,0,0,0,64,1835,23167
292,324,0,0,0,53,1161,27345
293,310,0,0,5,71,830,20981
294,330,0,4,17,129,672,22223
295,312,0,0,0,124,1362,23755
296,314,0,5,30,263,1615,15806
297,316,0,4,12,359,2992,20467
298,322,0,4,51,314,2154,27432
299,324,0,8,31,147,1506,20953
300,336,0,0,0,20,571,21425
301,330,0,0,0,0,749,23429
302,322,0,0,0,27,619,20575
303,332,0,0,6,101,1581,26080
304,328,0,0,0,20,615,23374
305,322,0,20,99,371,2515,21696
306,328,0,0,9,141,1132,25722
307,320,0,5,73,406,2078,18925
308,320,0,1,61,310,2081,23282
309,340,0,0,0,67,1096,24928
310,312,0,8,47,253,1777,23304
311,320,0,30,78,404,1912,22239
312,320,0,0,58,934,3172,22697
313,318,0,0,0,26,463,16531
314,310,0,2,38,189,2390,22050
315,318,0,4,26,180,1731,17562
316,314,0,0,136,574,2473,23098
317,318,0,7,28,240,1936,27682
318,324,0,42,182,406,2156,23648
319,322,0,0,0,29,1719,24951
320,316,0,0,1,152,1945,18789
321,314,0,1,34,253,2149,18497
322,312,0,2,63,540,4202,17427
323,328,0,2,18,109,1152,21863
324,324,0,54,135,608,3378,20674
325,328,0,0,60,425,3053,21719
326,324,0,16,99,408,1712,23907
327,314,0,0,10,73,1076,22573
328,320,0,0,14,188,1339,22276
329,320,0,0,0,14,841,18013
330,310,0,0,9,291,3118,22140
331,316,0,0,0,1,499,22326
332,316,0,0,12,110,3355,16395
333,314,0,28,46,238,1781,24872
334,320,0,3,8,135,1810,24581
335,312,0,0,0,0,0,14187
336,332,0,3,96,557,4148,22844
337,330,0,0,6,104,1593,21407
338,322,0,0,65,511,3091,25673
339,312,0,0,0,0,3,27007
340,304,0,0,0,41,539,22109
341,314,0,0,0,25,327,27376
342,314,0,0,26,159,785,19492
343,326,0,3,45,310,2416,22347
344,316,0,0,0,1,1433,18172
345,316,0,0,16,128,1588,24436
346,316,0,6,58,471,2684,15892
347,324,0,13,54,245,1895,18098
348,318,0,0,14,111,1926,19815
349,318,0,7,152,511,2131,24727
350,312,0,1,9,164,1583,21208
351,318,0,1,34,205,2048,18549
352,310,0,5,51,263,2917,15306
353,332,0,5,39,346,2351,23529
354,330,0,0,0,32,601,25396
355,330,0,0,0,33,698,23525
356,314,0,4,30,345,2186,23152
357,328,0,13,159,840,5014,21561
358,318,0,6,67,567,3185,19946
359,324,0,2,75,307,2923,17468
360,316,0,6,51,351,2732,20772
361,314,0,0,9,144,1170,21731
362,320,0,0,0,0,1094,24059
363,320,0,5,101,611,3068,19281
364,312,0,0,0,17,594,23040
365,314,0,0,0,88,1932,17343
366,326,0,9,65,494,3925,22291
367,314,0,0,0,52,786,22109
368,308,0,12,41,338,3189,22600
369,314,0,0,7,121,2588,22307
370,316,0,0,0,0,462,21869
371,330,0,0,0,0,1330,19269
372,318,0,0,6,113,1623,23614
373,320,0,0,0,44,1286,21990
374,332,0,19,132,529,2402,18085
375,330,0,0,0,79,2357,23344
376,316,0,0,0,0,178,21381
377,312,0,1,37,366,2345,23268
378,322,0,0,86,438,3519,17438
379,324,0,0,10,109,1538,22275
380,316,0,16,151,623,3823,23432
381,310,0,0,0,0,150,23868
382,308,0,0,0,0,75,17403
383,318,0,0,0,66,1506,26803
384,316,0,0,42,454,3064,12941
385,328,0,14,18,207,1652,23225
386,322,0,0,26,432,4373,25882
387,340,0,4,31,154,1613,20832
388,320,0,7,120,453,2309,19415
389,318,0,5,41,629,2957,16884
390,314,0,0,0,0,259,20059
391,320,0,0,6,33,356,19654
392,318,0,0,18,249,1975,21619
393,310,0,10,57,599,2813,20067
394,318,0,0,0,0,96,21429
395,314,0,0,0,320,1433,22448
396,308,0,0,40,157,2220,19564
397,310,0,0,0,55,560,16918
398,314,0,5,28,214,2736,25507
399,318,0,5,59,453,4308,21185
400,312,0,6,103,275,1200,18067
401,322,0,0,0,0,0,20450
402,334,0,12,59,177,1901,26134
403,328,0,11,106,502,2558,20896
404,328,0,0,0,89,608,16132
405,322,0,0,24,152,1484,21811
406,322,0,5,209,300,2441,21114
407,320,0,5,21,158,667,17903
408,330,0,0,12,177,1787,21757
409,316,0,0,0,0,0,27877
410,316,0,1,37,136,1061,18870
411,324,0,0,11,329,2713,22304
412,312,0,0,12,24,1666,19447
413,324,0,5,53,263,2663,20428
414,322,0,0,0,0,519,23767
415,308,0,0,126,431,1752,23175
416,312,0,0,0,113,1177,21191
417,314,0,0,0,0,1284,16527
418,322,0,12,70,373,1334,21290
419,316,0,2,33,236,1710,20841
420,330,0,4,16,156,1446,24469
421,314,0,16,31,239,2302,17757
422,314,0,0,0,482,5770,16679
423,314,0,24,243,652,3712,20218
424,310,0,0,7,118,1129,20083
425,324,0,4,7,132,1309,24079
426,314,0,0,0,0,4,15615
427,310,0,1,91,341,549,17585
428,334,0,3,14,36,1099,22168
429,326,0,0,0,8,670,23989
430,324,0,0,0,0,0,21639
431,308,0,11,62,370,2701,21551
432,320,0,8,19,286,1954,15649
433,314,0,0,72,511,3981,18918
434,322,0,0,10,58,868,19148
435,324,0,0,28,92,1447,24207
436,326,0,0,0,33,1354,25086
437,324,0,0,0,0,162,16603
438,312,0,7,57,214,1500,18789
439,320,0,0,0,0,572,20207
440,312,0,2,20,161,1163,21273
441,324,0,0,0,87,1305,24731
442,326,0,5,21,44,1420,25555
443,328,0,7,27,240,1491,17209
444,312,0,0,0,11,1182,21460
445,320,0,0,21,132,1940,24186
446,314,0,22,91,507,3279,16143
447,322,0,0,0,45,1724,23657
448,312,0,31,76,250,1222,23049
449,328,0,2,15,77,1930,22646
450,316,0,0,0,0,226,22727
451,306,0,3,56,561,2414,17803
452,312,0,35,95,363,2131,19704
453,320,0,0,0,17,727,19144
454,324,0,4,37,311,3784,20182
455,310,0,0,0,52,803,23869
456,312,0,0,70,289,2020,22965
457,306,0,0,7,85,741,21920
458,314,0,0,0,8,2224,17265
459,316,0,7,29,128,1681,23798
460,324,0,0,0,33,2318,21434
461,322,0,0,59,1025,4654,18942
462,324,0,0,27,151,1146,25439
463,316,0,2,55,153,988,20672
464,316,0,0,0,14,1144,23196
465,316,0,0,4,230,1129,25623
466,328,0,2,34,182,3489,24564
467,322,0,0,8,143,1313,18430
468,318,0,19,73,378,2053,25526
469,318,0,0,0,27,359,21005
470,318,0,0,0,0,0,22365
471,326,0,0,0,98,2829,20659
472,310,0,3,32,182,1250,24154
473,314,0,0,0,0,719,22023
474,316,0,6,53,330,2194,23915
475,312,0,0,0,0,0,19446
476,320,0,0,0,53,866,23723
477,312,0,0,0,176,2355,18350
478,320,0,27,39,54,703,15477
479,318,0,0,7,42,1254,21945
480,332,0,0,1,81,1490,20995
481,316,0,3,19,237,2058,21779
482,320,0,13,105,458,2339,13073
483,326,0,3,9,303,3272,19558
484,316,0,0,0,123,3124,16938
485,306,0,0,0,0,677,26051
486,316,0,21,130,382,2062,20994
487,310,0,1,24,243,2858,20204
488,316,0,4,47,168,1226,28593
489,320,0,0,0,47,861,20111
490,316,0,0,16,152,1538,19808
491,306,0,9,31,300,2409,21976
492,318,0,0,27,288,3060,18250
493,320,0,4,16,99,2248,24499
494,316,0,0,0,0,921,27309
495,320,0,0,0,0,37,20242
496,316,0,0,11,148,2034,21589
497,316,0,0,0,0,256,20324
498,314,0,0,0,44,1198,25003
499,318,0,13,288,1168,4734,20320
