run,steps,collisions,intimate,close intimate,person,social,public
126,324,0,0,0,0,0,15086
127,318,0,14,130,474,2513,11843
128,322,0,0,0,63,2414,9636
129,316,0,0,0,0,695,12286
130,318,0,9,29,160,1894,12829
131,308,0,0,0,0,466,13276
132,326,0,0,40,317,2121,10412
133,326,0,0,0,0,361,9861
134,314,0,0,0,0,386,7977
135,314,0,0,0,0,381,15246
136,312,0,0,0,68,780,11086
137,322,0,0,0,211,1948,10547
138,324,0,0,15,258,2003,11009
139,324,0,0,0,0,62,9970
140,322,0,0,2,379,1548,8505
141,318,0,0,0,0,190,10819
142,314,0,2,26,133,555,12677
143,322,0,0,0,0,336,6396
144,318,0,0,0,12,494,9540
145,328,0,3,23,119,676,14873
146,312,0,1,44,373,2277,9778
147,318,0,0,0,1,844,8945
148,324,0,45,92,446,1368,11999
149,312,0,0,0,0,645,12862
150,320,0,0,0,0,1253,7000
151,316,0,3,22,291,2081,12187
152,324,0,0,18,151,1697,10105
153,320,0,0,24,217,1238,11893
154,326,0,10,65,290,889,11422
155,314,0,0,0,0,424,8667
156,312,0,0,0,0,749,12492
157,324,0,4,31,145,1388,10439
158,318,0,0,0,0,166,10703
159,322,0,6,41,496,2961,10549
160,334,0,0,0,0,293,10760
161,316,0,0,1,51,300,12560
162,330,0,0,0,37,370,9441
163,310,0,0,12,71,572,9552
164,320,0,0,0,28,718,8324
165,324,0,0,0,0,28,7938
166,328,0,1,66,187,822,12754
167,312,0,8,130,290,1022,10000
168,314,0,0,0,0,246,13710
169,316,0,3,53,316,1738,9958
170,324,0,0,0,0,534,10662
171,330,0,5,29,128,666,9619
172,326,0,0,0,0,0,5537
173,318,0,0,0,3,872,12977
174,324,0,0,0,0,328,11285
175,310,0,0,0,0,116,9017
176,318,0,0,0,0,0,13266
177,318,0,6,25,103,733,9403
178,306,0,0,0,0,0,10767
179,308,0,10,40,155,1114,10751
180,320,0,0,0,0,0,11748
181,316,0,0,0,0,381,11749
182,328,0,0,70,504,1292,8009
183,324,0,0,0,23,509,11734
184,314,0,0,0,1,233,14162
185,320,0,0,0,31,518,10554
186,310,0,0,2,60,805,11255
187,326,0,0,0,49,595,14064
188,312,0,0,0,0,95,15505
189,322,0,0,18,608,3004,5814
190,316,0,0,0,11,587,10869
191,330,0,0,0,13,908,10313
192,316,0,4,152,738,2479,12053
193,334,0,0,0,28,690,12935
194,320,0,0,0,0,0,10857
195,314,0,0,0,32,915,13008
196,320,0,0,19,283,1715,9962
197,314,0,0,3,63,347,9719
198,318,0,0,0,0,221,8713
199,314,0,0,0,0,574,8374
200,320,0,3,21,118,656,10201
201,316,0,0,0,63,742,14021
202,318,0,0,10,28,1094,10246
203,306,0,0,0,0,509,11022
204,318,0,0,43,277,883,9465
205,322,0,0,0,24,517,10684
206,320,0,0,0,126,1563,9130
207,324,0,0,52,242,1390,14166
208,316,0,3,11,151,826,10919
209,314,0,4,17,91,1118,12390
210,322,0,0,0,29,427,13158
211,312,0,0,0,0,325,12816
212,318,0,0,4,48,659,8880
213,306,0,2,35,130,623,7824
214,334,0,8,96,724,2094,13124
215,318,0,0,0,0,266,14926
216,312,0,0,0,19,707,10704
217,320,0,0,0,5,288,10775
218,312,0,0,0,53,1992,11975
219,330,0,1,30,168,703,10573
220,322,0,24,180,602,2406,6853
221,320,0,0,0,0,0,5711
222,330,0,0,0,70,1275,12580
223,314,0,0,0,43,1149,11853
224,312,0,0,0,0,0,10910
225,310,0,46,98,361,1598,11562
226,324,0,0,0,0,0,12193
227,316,0,0,0,0,0,6966
228,326,0,0,0,21,357,9113
229,326,0,5,58,224,1339,11025
230,310,0,0,0,0,128,10188
231,318,0,4,11,170,1062,9262
232,326,0,0,0,0,182,11276
233,320,0,0,0,0,321,10135
234,314,0,0,0,0,1079,11703
235,308,0,0,0,41,428,12016
236,312,0,0,0,0,414,12171
237,330,0,0,0,0,44,7185
238,314,0,0,0,0,0,12370
239,320,0,4,36,188,1882,12514
240,320,0,1,21,138,795,13769
241,316,0,0,9,88,776,10035
242,328,0,0,0,120,836,9019
243,322,0,0,0,0,225,15303
243,318,0,14,25,180,2732,10236
244,318,0,4,110,682,2039,9927
245,320,0,0,2,124,1187,11771
246,314,0,0,0,0,631,9977
247,314,0,0,0,216,2140,9238
248,316,0,0,16,152,1465,12801
249,330,0,0,0,0,876,10469
250,308,0,0,0,0,0,8407
251,314,0,1,9,18,1879,8322
252,326,0,0,0,24,991,9302
253,318,0,0,0,0,0,10564
254,312,0,0,7,229,2669,10772
255,318,0,2,15,209,1189,13554
256,330,0,9,103,447,1371,10337
257,322,0,0,0,0,21,15870
258,324,0,0,21,118,745,8118
259,322,0,0,0,42,517,11410
260,306,0,0,0,19,1778,11105
261,314,0,0,9,71,2422,8791
262,324,0,0,0,0,18,12120
263,324,0,0,36,209,1593,11433
264,318,0,0,15,185,1630,9413
265,320,0,0,0,48,2365,8346
266,314,0,0,0,46,685,10516
267,314,0,0,0,0,1109,9027
268,322,0,3,9,115,750,8974
269,320,0,0,0,641,1804,9395
270,328,0,4,28,350,2720,10714
