run,steps,collisions,intimate,close intimate,person,social,public
313,248,0,0,0,0,511,9916
314,342,0,0,0,0,2922,11591
315,393,0,0,0,424,2382,10801
316,435,0,0,42,326,1400,15841
317,281,0,0,0,121,1076,12345
318,213,0,0,0,0,238,8436
319,217,0,0,0,0,304,9370
320,212,0,0,0,0,27,7425
321,266,0,0,0,0,629,9101
322,245,0,0,0,0,1004,10523
323,242,0,0,0,0,796,8008
324,279,0,0,0,0,1016,12820
325,213,0,0,0,0,77,10549
326,337,0,0,0,0,1910,12585
327,214,0,0,0,0,7,5947
328,379,0,0,0,316,2330,8280
329,399,0,0,0,0,1570,14961
330,213,0,0,0,0,211,9505
331,276,0,0,0,0,1913,10827
332,246,0,0,0,0,629,8303
333,238,0,0,0,0,889,10570
334,269,0,0,0,337,1837,7919
335,226,0,0,0,0,501,10553
336,213,0,0,0,0,81,10290
337,439,0,0,0,27,2209,14415
338,436,0,0,0,210,2167,10658
339,217,0,0,0,0,405,6992
340,212,0,0,0,0,238,9255
341,339,0,0,0,251,1623,12803
342,212,0,0,0,0,0,9097
343,431,0,0,0,578,3370,14262
344,212,0,0,0,0,53,9395
345,213,0,0,0,0,0,8923
346,297,0,0,0,0,1023,9558
347,230,0,0,0,0,309,9523
348,213,0,0,0,0,0,8372
349,359,0,0,8,289,1305,13040
350,428,0,0,0,0,1640,12691
351,246,0,0,0,0,884,11347
352,224,0,0,0,0,370,9220
353,288,0,0,0,0,1207,12491
354,213,0,0,0,0,101,8221
355,222,0,0,0,0,411,8631
356,212,0,0,0,0,0,5870
357,213,0,0,0,0,0,10650
358,213,0,0,0,0,0,9562
359,213,0,0,0,0,0,10650
360,214,0,0,0,0,657,6597
361,310,0,0,0,223,1646,9214
362,213,0,0,0,0,186,8848
363,213,0,0,0,0,53,8647
364,238,0,0,0,0,628,7112
365,212,0,0,0,0,0,7228
366,289,0,0,0,0,718,7325
367,212,0,0,0,0,173,5606
368,238,0,0,0,0,396,9840
369,326,0,0,0,0,861,13619
370,398,0,0,0,0,1510,11592
371,292,0,0,0,249,1179,11985
372,408,0,0,0,162,2358,12907
373,215,0,0,0,0,410,9433
374,299,0,0,0,0,737,7563
375,313,0,0,2,511,2267,9803
376,295,0,0,0,0,1718,9903
377,336,0,0,0,263,2035,8495
378,458,0,0,0,268,2824,8530
379,214,0,0,0,0,0,8707
380,212,0,0,0,0,25,8592
381,453,0,0,0,0,2852,12517
382,335,0,0,0,0,1280,13906
383,249,0,0,0,0,609,11841
384,258,0,0,0,0,1355,8283
385,214,0,0,0,0,0,10569
386,240,0,0,0,0,470,8910
387,214,0,0,0,0,22,8652
388,225,0,0,0,0,496,9073
389,417,0,0,0,462,3936,7920
390,212,0,0,0,0,13,8906
391,214,0,0,0,0,30,9799
392,328,0,0,3,265,2085,14047
393,214,0,0,0,0,310,8205
394,213,0,0,0,0,0,9942
395,221,0,0,0,0,557,9813
396,213,0,0,0,0,29,10161
397,245,0,0,0,0,713,8020
398,231,0,0,0,3,597,8771
399,382,0,0,0,77,1978,10739
400,230,0,0,0,0,613,10816
401,321,0,0,0,220,1377,10871
402,214,0,0,0,0,0,7312
403,216,0,0,0,0,33,9656
404,411,0,0,0,0,1089,12400
405,330,0,0,0,0,768,9369
406,298,0,0,0,0,614,12710
407,367,0,0,9,576,2190,10108
408,369,0,0,0,0,1651,15308
409,213,0,0,0,0,0,9834
410,393,0,0,29,713,3024,10642
411,215,0,0,0,0,160,9768
412,360,0,0,0,638,3968,6335
413,404,0,0,0,89,2446,14744
414,212,0,0,0,0,0,8279
415,282,0,0,0,225,1429,10654
416,287,0,0,0,0,677,11887
417,252,0,0,0,0,472,11330
418,443,0,0,39,697,2543,13070
419,212,0,0,0,0,220,10380
420,314,0,0,0,0,1803,11974
421,214,0,0,0,0,214,7245
422,212,0,0,0,0,34,6319
423,213,0,0,0,0,189,6399
424,308,0,0,0,95,1085,9440
425,404,0,0,4,417,1548,8772
426,257,0,0,0,0,1599,8753
427,379,0,0,0,0,973,11013
428,237,0,0,0,0,1267,7933
429,214,0,0,0,0,382,6775
430,213,0,0,0,0,0,7100
431,212,0,0,0,0,212,8725
432,309,0,0,0,0,1075,7076
433,241,0,0,0,0,724,9655
434,410,0,0,0,12,1267,10561
435,548,0,0,27,810,3592,14110
436,284,0,0,0,143,880,8387
437,261,0,0,0,0,625,10476
438,238,0,0,0,0,406,10015
439,351,0,0,15,228,1085,12908
440,213,0,0,0,0,49,6470
441,389,0,0,0,0,1856,9296
442,356,0,0,0,0,999,12230
443,213,0,0,0,0,18,4239
444,214,0,0,0,0,4,10095
445,282,0,0,0,0,671,12221
446,350,0,0,23,324,2032,10134
447,218,0,0,0,0,456,9774
448,212,0,0,0,0,0,6887
449,459,0,0,0,315,2526,10428
450,286,0,0,0,0,853,12395
451,221,0,0,0,0,303,9890
452,227,0,0,0,0,351,7195
453,447,0,0,31,191,2915,9412
454,226,0,0,0,0,356,8289
455,433,0,0,0,0,1363,12054
456,212,0,0,0,0,0,7536
457,213,0,0,0,0,0,10541
458,212,0,0,0,0,0,9058
459,390,0,0,0,0,1265,7495
460,303,0,0,0,0,694,12944
461,330,0,0,0,185,1846,9913
462,213,0,0,0,7,177,6319
463,213,0,0,0,0,0,7578
464,217,0,0,0,0,226,10002
465,586,0,0,0,464,1806,9613
466,285,0,0,0,0,1096,10676
467,216,0,0,0,0,343,9280
468,363,0,0,0,0,892,6988
469,439,0,0,47,426,1608,14202
470,214,0,0,0,0,538,9297
471,322,0,0,0,0,1231,10726
472,291,0,0,0,0,612,9669
473,214,0,0,0,0,0,10044
474,320,0,0,0,0,697,9621
475,379,0,0,0,183,1472,12279
476,382,0,0,0,30,2157,9725
477,212,0,0,0,0,277,7876
478,216,0,0,0,0,78,7189
479,212,0,0,0,0,134,8837
480,212,0,0,0,0,0,8585
481,212,0,0,0,0,0,8312
482,222,0,0,0,0,380,9619
483,256,0,0,0,44,775,9857
484,213,0,0,0,0,90,9462
485,349,0,0,0,0,1578,8789
486,251,0,0,0,0,796,9265
487,403,0,0,0,13,2740,11293
488,213,0,0,0,0,98,9197
489,226,0,0,0,0,439,8623
490,310,0,0,60,278,1225,7508
491,223,0,0,0,0,490,7618
492,212,0,0,0,0,29,10571
493,297,0,0,0,0,680,10020
494,213,0,0,0,0,39,7188
495,294,0,12,97,309,1979,9608
496,213,0,0,0,0,38,7685
497,437,0,0,38,277,1681,10585
498,254,0,0,0,0,781,8160
499,269,0,0,0,0,677,12151
500,212,0,0,0,0,0,7686
501,266,0,0,0,0,527,8999
502,302,0,0,0,0,1049,10712
503,212,0,0,0,0,44,9368
504,212,0,0,0,0,64,8261
505,215,0,0,0,0,76,8451
506,224,0,0,0,0,850,7194
507,223,0,0,0,0,471,8823
508,333,0,0,0,0,2087,11581
509,356,0,0,0,35,2701,10103
510,214,0,0,0,0,113,9425
511,217,0,0,0,0,354,8541
512,212,0,0,0,0,104,9501
513,213,0,0,0,0,0,8421
514,353,0,0,0,0,2009,10373
515,224,0,0,0,0,266,10407
516,222,0,0,0,0,229,6902
517,409,0,0,0,0,980,6417
518,214,0,0,0,0,149,10356
519,220,0,0,0,0,479,9286
520,325,0,0,0,0,884,14515
521,213,0,0,0,0,93,5639
522,229,0,0,0,0,606,10844
523,216,0,0,0,0,477,9620
524,212,0,0,0,0,130,8611
525,213,0,0,0,0,0,10618
526,226,0,0,0,0,724,8407
527,281,0,0,0,30,984,10384
528,273,0,0,0,0,1176,8027
529,349,0,0,0,44,2970,10355
530,213,0,0,0,0,0,10500
531,267,0,0,0,0,1115,12144
532,318,0,0,0,0,1682,6667
533,212,0,0,0,0,0,8632
534,212,0,0,0,0,214,10386
535,212,0,0,0,0,134,8017
536,213,0,0,0,0,15,9482
537,289,0,0,0,0,742,11091
538,212,0,0,0,0,49,8208
539,263,0,0,0,0,1324,9043
540,308,0,0,1,311,2504,8514
541,212,0,0,0,0,28,7614
542,257,0,0,0,0,492,6644
543,317,0,0,0,236,1989,9358
544,212,0,0,0,0,0,8986
545,212,0,0,0,0,215,7431
546,229,0,0,0,0,682,10027
547,214,0,0,0,0,0,10147
548,493,0,0,50,854,3237,11683
549,273,0,0,0,68,736,10445
550,256,0,0,0,7,946,11023
551,470,0,0,0,171,3312,12554
552,367,0,0,0,0,934,13233
553,214,0,0,0,0,0,10609
554,221,0,0,0,0,421,9763
555,238,0,0,0,0,491,11040
556,350,0,0,0,322,1289,10282
557,214,0,0,0,0,0,9038
558,249,0,0,0,0,939,8801
559,214,0,0,0,0,20,5902
560,611,0,0,0,629,2717,11567
561,296,0,0,0,171,2364,11027
562,216,0,0,0,0,262,7989
563,234,0,0,0,0,365,9083
564,252,0,0,0,0,388,10300
565,213,0,0,0,0,124,9291
566,216,0,0,0,0,361,7279
567,212,0,0,0,0,90,9210
568,249,0,0,0,124,1411,9368
569,212,0,0,0,0,0,7959
570,213,0,0,0,0,15,6531
571,403,0,0,0,0,1654,11407
572,213,0,0,0,0,0,9205
573,464,0,0,0,185,1465,9733
574,212,0,0,0,0,40,8272
575,214,0,0,0,0,504,7802
576,213,0,0,0,0,175,10475
577,387,0,0,0,101,2259,12349
578,213,0,0,0,0,25,8325
579,295,0,0,0,0,520,10840
580,374,0,0,4,361,1966,12621
581,343,0,0,0,0,767,8585
582,347,0,0,0,0,1200,11700
583,341,0,0,0,0,2422,10239
584,258,0,0,0,0,1455,6399
585,370,0,0,0,0,1061,11235
586,295,0,0,0,0,579,10426
587,228,0,0,0,0,415,10985
588,234,0,0,0,0,493,5436
589,215,0,0,0,0,278,5901
590,329,0,0,15,693,2622,9432
591,240,0,0,0,0,888,8412
592,213,0,0,0,0,0,9075
593,324,0,0,0,31,1657,12399
594,434,0,0,0,0,1910,9420
595,320,0,0,0,0,1551,9780
596,237,0,0,0,0,319,8538
597,325,0,0,0,0,534,13746
598,213,0,0,0,0,459,7698
599,218,0,0,0,0,619,10279
600,387,0,0,0,0,1371,10344
601,269,0,0,0,0,648,8737
602,249,0,0,0,0,564,10063
603,434,0,0,0,0,2000,12266
604,242,0,0,0,0,303,10412
605,215,0,0,0,0,527,7722
606,278,0,0,0,0,716,7365
607,213,0,0,0,0,0,9119
608,220,0,0,0,0,442,9602
609,213,0,0,0,0,0,10650
610,214,0,0,0,0,0,6696
611,228,0,0,0,0,652,8910
612,356,0,0,0,307,1051,7469
613,235,0,0,0,0,397,6904
614,315,0,0,0,191,1085,12122
615,252,0,0,0,0,529,9966
616,212,0,0,0,0,0,10600
617,212,0,0,0,0,0,6099
618,444,0,0,6,478,1205,9033
619,216,0,0,0,0,1120,8381
620,213,0,0,0,0,0,7963
621,212,0,0,0,0,270,9349
622,249,0,0,0,0,584,11866
623,332,0,0,0,0,2110,10727
624,288,0,0,0,0,373,9349
625,320,0,0,0,218,1242,10675
626,411,0,0,0,0,2660,12307
627,324,0,0,0,0,613,13795
628,223,0,0,0,0,359,9325
629,231,0,0,0,0,344,9282
630,217,0,0,0,0,257,10593
631,212,0,0,0,0,0,7376
632,214,0,0,0,0,188,10356
633,215,0,0,0,0,193,8206
634,213,0,0,0,0,0,8914
635,278,0,0,0,111,2132,9227
636,488,0,0,0,488,2302,16781
637,265,0,0,0,0,657,9233
638,219,0,0,0,0,364,8814
639,465,0,0,0,0,1552,13296
640,213,0,0,0,0,168,8066
641,366,0,0,0,0,2157,10260
642,323,0,0,0,0,888,11905
643,212,0,0,0,0,0,5993
644,213,0,0,0,0,0,9305
645,212,0,0,0,0,49,7725
646,220,0,0,0,0,170,6606
647,246,0,0,0,0,542,10974
648,383,0,0,18,328,2723,10058
649,215,0,0,0,0,658,9969
650,222,0,0,0,0,293,10234
651,213,0,0,0,0,27,9394
652,212,0,0,0,0,0,10373
653,283,0,0,0,0,675,10018
654,212,0,0,0,0,45,8210
655,243,0,0,0,0,1380,8463
656,271,0,0,0,0,1494,10035
657,411,0,0,0,0,1800,16131
658,231,0,0,0,0,750,8130
659,309,0,0,0,0,1045,11988
660,505,0,0,0,427,1418,8963
661,213,0,0,0,0,34,7730
662,228,0,0,0,0,373,7974
663,451,0,0,80,453,1723,9057
664,430,0,0,36,479,3215,10193
665,351,0,0,0,251,1415,10375
666,219,0,0,0,0,417,10533
667,360,0,0,0,323,1592,10873
668,227,0,0,0,0,322,11028
669,375,0,0,0,0,1567,9753
670,232,0,0,0,0,763,5527
671,213,0,0,0,0,108,8511
672,236,0,0,0,0,841,10304
673,267,0,0,0,0,827,8350
674,326,0,0,0,0,1119,14205
675,382,0,0,0,0,1152,12949
676,465,0,0,26,386,2814,12887
677,226,0,0,0,0,156,7973
678,214,0,0,0,0,37,8930
679,281,0,0,0,0,1099,11606
680,358,0,0,0,0,700,11440
681,222,0,0,0,0,441,8355
682,300,0,0,0,0,693,10912
683,218,0,0,0,0,171,9531
684,367,0,0,0,7,1167,12994
685,212,0,0,0,0,172,9881
686,286,0,0,1,122,2109,6898
687,214,0,0,0,0,0,7532
688,214,0,0,0,0,266,9055
689,213,0,0,0,0,506,6444
690,212,0,0,0,0,0,8867
691,213,0,0,0,2,70,9012
692,217,0,0,0,0,256,7770
693,213,0,0,0,0,34,8828
694,212,0,0,0,0,0,8659
695,326,0,0,0,0,905,14575
696,506,0,0,9,669,2906,14367
697,214,0,0,0,0,232,9632
698,307,0,0,0,144,901,8590
699,258,0,0,0,0,766,9802
700,276,0,0,0,0,999,10309
701,225,0,0,0,0,274,10775
702,391,0,0,0,312,2080,14397
703,335,0,0,6,316,1547,13809
704,212,0,0,0,0,1,8557
705,371,0,0,0,7,1745,13573
706,213,0,0,0,0,0,7562
707,214,0,0,0,0,0,10681
708,226,0,0,0,0,240,9740
709,213,0,0,0,0,206,9436
710,228,0,0,0,9,242,10843
711,212,0,0,0,0,0,8577
712,213,0,0,0,0,47,7641
713,221,0,0,0,0,430,10552
714,229,0,0,0,0,341,7247
